# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
Title=Dijet selection, soft-dropped
RatioPlotReference=/ATLAS_2019_I1724098/d24-x01-y01
RatioPlot=1
LogY=0
LegendOnly=/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01
XLabel=$C_2$
LegendAlign=r
YLabel=$\dfrac{1}{\sigma} \; \dfrac{\text{d}\sigma}{\text{d} C_2}$
DrawOnly=/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassInclPt_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01 //Users/jenniferroloff/Work/tuningStudies/SoftDropMassPtBin_tune.yoda/ATLAS_2019_I1724098/d24-x01-y01
Legend=1
LeftMargin=1.8
# END PLOT

# BEGIN HISTO1D /ATLAS_2019_I1724098/d24-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/ATLAS_2019_I1724098/d24-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.400000e-01	2.166852e+00	2.918021e-01	2.827364e-01
1.400000e-01	2.200000e-01	2.559383e+00	3.744638e-01	3.174224e-01
2.200000e-01	2.800000e-01	2.052954e+00	2.139472e-01	2.072514e-01
2.800000e-01	3.400000e-01	1.714228e+00	1.189267e-01	1.368269e-01
3.400000e-01	3.800000e-01	1.409186e+00	6.572977e-02	1.252080e-01
3.800000e-01	4.200000e-01	1.188237e+00	4.550726e-02	1.321466e-01
4.200000e-01	4.600000e-01	9.629744e-01	3.175715e-02	1.037802e-01
4.600000e-01	5.000000e-01	7.914376e-01	2.724639e-02	8.696157e-02
5.000000e-01	5.400000e-01	6.578627e-01	1.836971e-02	1.075981e-01
5.400000e-01	5.800000e-01	5.211551e-01	1.603322e-02	7.994809e-02
5.800000e-01	6.200000e-01	3.909879e-01	2.063734e-02	4.138998e-02
6.200000e-01	6.600000e-01	3.053029e-01	1.196763e-02	5.317581e-02
6.600000e-01	7.000000e-01	2.185178e-01	1.481342e-02	4.488634e-02
7.000000e-01	7.400000e-01	1.253661e-01	1.891907e-02	2.727547e-02
7.400000e-01	1.000000e+00	1.160802e-02	2.384326e-03	2.604919e-03
# END HISTO1D


